Airline,Source,Destination,Total_Stops,Additional_Info,Price,Journey_Day,Journey_Month,Is_Weekend,Dep_Hour,Dep_Min,Arrival_Hour,Arrival_Min,Duration_Total_Mins
GoAir,Delhi,Cochin,1,No info,58.09,27,6,0,7,0,12,55,355
Multiple carriers,Delhi,Cochin,1,No info,113.83,18,5,1,7,5,22,30,925
Air India,Delhi,Cochin,1,No info,139.45,6,3,0,17,20,9,25,965
Multiple carriers,Delhi,Cochin,1,No info,166.62,3,3,1,15,25,1,35,610
Vistara,Banglore,Delhi,0,No info,51.35,12,6,0,7,0,9,40,160
Jet Airways,Delhi,Cochin,1,No info,171.09,9,5,0,7,5,19,0,715
SpiceJet,Banglore,Delhi,0,No info,43.68,9,4,0,5,55,8,35,160
Air India,Mumbai,Hyderabad,0,No info,34.1,3,5,0,15,0,16,25,85
Jet Airways,Kolkata,Banglore,1,In-flight meal not included,106.29,6,5,0,20,0,10,5,845
Air India,Delhi,Cochin,1,No info,301.73,1,3,0,23,0,19,15,1215
IndiGo,Chennai,Kolkata,0,No info,38.94,12,5,1,5,15,7,40,145
Air India,Kolkata,Banglore,2,No info,117.44,21,5,0,12,0,11,10,1390
Jet Airways,Kolkata,Banglore,1,No info,143.48,12,6,0,14,5,8,15,1090
Jet Airways,Kolkata,Banglore,1,No info,158.27,6,5,0,20,0,12,0,960
IndiGo,Banglore,Delhi,0,No info,43.37,24,6,0,4,0,6,50,170
IndiGo,Chennai,Kolkata,0,No info,39.57,3,6,0,14,45,17,5,140
Air India,Banglore,Delhi,1,No info,65.25,21,3,0,11,50,19,50,480
Jet Airways,Delhi,Cochin,1,In-flight meal not included,112.88,15,6,1,11,30,4,25,1015
Vistara,Delhi,Cochin,0,No info,68.38,12,5,1,14,40,17,50,190
IndiGo,Kolkata,Banglore,0,No info,52.84,15,6,1,20,25,23,10,165
Multiple carriers,Delhi,Cochin,1,No info,154.74,21,5,0,11,30,1,30,840
Jet Airways,Delhi,Cochin,2,No info,166.42,18,5,1,19,10,19,0,1430
Jet Airways,Delhi,Cochin,2,No info,147.14,6,6,0,6,45,4,25,1300
Air India,Delhi,Cochin,2,No info,114.85,27,6,0,22,0,19,15,1275
Jet Airways,Banglore,Delhi,0,In-flight meal not included,44.33,24,5,0,6,0,8,45,165
Jet Airways,Delhi,Cochin,1,No info,187.26,3,3,1,8,0,18,50,650
Multiple carriers,Delhi,Cochin,1,No info,143.19,9,4,0,17,30,1,30,480
GoAir,Kolkata,Banglore,1,No info,73.55,6,6,0,23,30,7,45,495
IndiGo,Delhi,Cochin,1,No info,62.0,15,6,1,2,0,7,25,325
IndiGo,Delhi,Cochin,1,No info,70.86,9,6,1,7,35,16,10,515
Multiple carriers,Delhi,Cochin,1,No info,104.35,21,5,0,13,5,0,55,710
Jet Airways,Kolkata,Banglore,1,In-flight meal not included,119.28,21,5,0,20,0,23,35,1655
Jet Airways,Delhi,Cochin,2,In-flight meal not included,168.5,3,6,0,20,0,4,25,505
Air India,Delhi,Cochin,1,No info,56.29,3,4,0,12,30,9,25,1255
IndiGo,Delhi,Cochin,1,No info,67.62,24,6,0,15,10,20,0,290
Multiple carriers,Delhi,Cochin,1,No info,77.05,9,6,1,12,50,21,0,490
SpiceJet,Kolkata,Banglore,0,No info,42.6,3,4,0,22,20,0,40,140
Jet Airways,Delhi,Cochin,2,In-flight meal not included,101.97,21,3,0,18,25,18,50,1465
GoAir,Banglore,Delhi,0,No info,42.88,27,6,0,11,40,14,30,170
Jet Airways,Kolkata,Banglore,1,No info,162.59,12,5,1,8,25,20,45,740
Jet Airways,Kolkata,Banglore,1,In-flight meal not included,94.45,24,5,0,20,0,8,15,735
Air India,Kolkata,Banglore,2,No info,117.67,9,5,0,8,20,7,55,1415
Jet Airways,Delhi,Cochin,2,No info,157.3,27,6,0,20,0,12,35,995
IndiGo,Banglore,Delhi,0,No info,97.4,3,3,1,18,55,21,45,170
Jet Airways,Kolkata,Banglore,1,In-flight meal not included,119.28,12,5,1,16,30,18,15,1545
Jet Airways,Delhi,Cochin,1,No info,187.26,6,3,0,2,15,4,25,1570
Jet Airways,Kolkata,Banglore,1,In-flight meal not included,102.45,1,5,0,9,35,14,25,1730
IndiGo,Banglore,Delhi,0,No info,52.55,24,3,1,0,40,3,25,165
Air India,Kolkata,Banglore,1,No info,84.28,9,6,1,12,0,13,15,1515
IndiGo,Delhi,Cochin,1,No info,70.86,9,5,0,6,50,16,10,560
SpiceJet,Delhi,Cochin,1,No info,57.9,12,6,0,8,45,13,15,270
Jet Airways,Delhi,Cochin,1,In-flight meal not included,141.88,27,5,0,13,0,4,25,925
Air India,Mumbai,Hyderabad,0,No info,67.01,3,3,1,13,55,15,25,90
SpiceJet,Banglore,Delhi,0,No info,36.42,21,5,0,5,55,8,35,160
Jet Airways,Delhi,Cochin,1,In-flight meal not included,71.94,27,3,0,19,15,4,25,550
IndiGo,Banglore,Delhi,0,No info,37.61,27,5,0,1,30,4,15,165
Jet Airways,Delhi,Cochin,1,In-flight meal not included,56.95,3,4,0,14,0,12,35,1355
Air India,Delhi,Cochin,0,No info,90.71,18,4,0,18,5,21,10,185
Jet Airways,Kolkata,Banglore,1,No info,161.44,9,6,1,9,35,21,5,690
Multiple carriers,Delhi,Cochin,1,No info,149.46,27,6,0,11,30,21,0,570
Jet Airways,Kolkata,Banglore,1,In-flight meal not included,106.29,6,5,0,21,10,9,20,730
Jet Airways,Kolkata,Banglore,1,No info,143.48,12,6,0,16,30,10,5,1055
IndiGo,Delhi,Cochin,1,No info,55.8,3,4,0,20,25,1,30,305
Vistara,Kolkata,Banglore,1,No info,102.79,21,5,0,17,0,18,50,1550
Jet Airways,Kolkata,Banglore,1,In-flight meal not included,106.29,6,5,0,14,5,10,5,1200
Multiple carriers,Delhi,Cochin,1,No info,157.05,21,5,0,8,0,21,0,780
Jet Airways,Delhi,Cochin,1,In-flight meal not included,112.88,1,6,1,10,0,4,25,1105
Jet Airways,Mumbai,Hyderabad,0,No info,62.46,27,3,0,19,35,21,5,90
Multiple carriers,Delhi,Cochin,1,No info,151.0,15,5,0,16,0,1,30,570
Jet Airways,Kolkata,Banglore,1,In-flight meal not included,106.29,6,5,0,20,0,12,0,960
IndiGo,Chennai,Kolkata,0,No info,42.44,12,5,1,14,45,17,5,140
SpiceJet,Delhi,Cochin,1,No info,52.93,24,6,0,8,45,13,15,270
IndiGo,Delhi,Cochin,1,No info,63.52,27,6,0,21,50,3,35,345
Jet Airways,Kolkata,Banglore,1,In-flight meal not included,115.93,6,6,0,9,35,9,45,1450
IndiGo,Kolkata,Banglore,0,No info,52.84,3,6,0,15,30,18,5,155
Air Asia,Banglore,Delhi,0,No info,37.21,12,6,0,11,10,13,55,165
IndiGo,Banglore,Delhi,1,No info,96.12,3,3,1,12,10,17,5,295
Air India,Delhi,Cochin,1,No info,78.82,27,3,0,5,15,6,50,1535
IndiGo,Delhi,Cochin,1,No info,70.53,24,6,0,16,10,22,30,380
Jet Airways,Banglore,Delhi,0,No info,88.18,27,6,0,18,55,22,0,185
Jet Airways,Banglore,Delhi,1,In-flight meal not included,121.96,12,3,0,20,35,15,15,1120
SpiceJet,Chennai,Kolkata,0,No check-in baggage included,38.97,27,6,0,9,45,12,0,135
Jet Airways,Kolkata,Banglore,1,No info,137.18,12,6,0,16,30,4,40,730
Jet Airways,Delhi,Cochin,1,In-flight meal not included,112.88,24,6,0,9,0,4,25,1165
Air India,Banglore,Delhi,0,No info,48.85,18,3,0,13,20,16,10,170
Multiple carriers,Delhi,Cochin,1,No info,137.91,27,3,0,7,5,15,30,505
GoAir,Kolkata,Banglore,1,No info,111.0,24,3,1,22,25,7,40,555
Air India,Banglore,Delhi,0,No info,76.57,3,6,0,21,5,23,55,170
IndiGo,Delhi,Cochin,0,No info,55.14,24,4,0,5,35,8,50,195
Air India,Delhi,Cochin,0,No info,76.27,18,5,1,5,10,8,0,170
Multiple carriers,Delhi,Cochin,1,No info,119.65,3,6,0,6,40,19,0,740
Jet Airways,Banglore,Delhi,0,No info,79.52,18,4,0,15,15,18,10,175
IndiGo,Delhi,Cochin,1,No info,77.53,27,3,0,16,0,1,35,575
Vistara,Banglore,Delhi,0,No info,53.66,27,6,0,17,0,19,35,155
Jet Airways,Kolkata,Banglore,1,In-flight meal not included,119.28,21,5,0,14,5,23,35,570
Jet Airways,Delhi,Cochin,2,No info,166.42,18,5,1,23,5,4,25,1760
IndiGo,Banglore,Delhi,0,No info,43.37,12,5,1,0,30,3,25,175
SpiceJet,Delhi,Cochin,1,No info,61.41,6,6,0,6,5,11,20,315
Multiple carriers,Delhi,Cochin,1,No info,106.11,6,6,0,7,5,16,10,545
Multiple carriers,Delhi,Cochin,1,No info,84.45,3,6,0,8,30,19,15,645
IndiGo,Delhi,Cochin,1,No info,75.26,1,6,1,5,10,10,5,295
Jet Airways,Mumbai,Hyderabad,0,In-flight meal not included,54.94,24,6,0,8,45,10,15,90
Vistara,Kolkata,Banglore,1,No info,105.1,9,6,1,7,10,18,50,700
IndiGo,Banglore,Delhi,0,No info,44.85,1,6,1,1,30,4,15,165
Jet Airways,Banglore,Delhi,0,No info,79.52,12,5,1,15,15,18,10,175
Multiple carriers,Delhi,Cochin,1,No info,134.11,9,6,1,9,0,19,0,600
Air India,Banglore,Delhi,0,No info,65.02,12,4,0,10,0,12,45,165
Air India,Delhi,Cochin,1,No info,92.09,12,6,0,9,0,19,15,615
Jet Airways,Mumbai,Hyderabad,0,In-flight meal not included,54.94,18,3,0,7,10,8,35,85
Multiple carriers,Delhi,Cochin,1,No info,157.55,9,5,0,10,0,19,15,555
Jet Airways,Delhi,Cochin,2,No info,143.15,9,6,1,5,30,4,25,1375
Air India,Delhi,Cochin,2,No info,149.5,6,6,0,14,25,19,15,1730
Jet Airways,Delhi,Cochin,2,No info,206.79,3,3,1,5,25,18,50,2245
IndiGo,Banglore,Delhi,0,No info,43.37,27,4,1,23,30,2,20,170
SpiceJet,Mumbai,Hyderabad,0,No check-in baggage included,21.62,21,5,0,5,45,7,15,90
Jet Airways,Mumbai,Hyderabad,0,In-flight meal not included,54.94,27,5,0,10,20,11,50,90
Air India,Kolkata,Banglore,1,No info,161.05,24,3,1,16,50,18,30,1540
Air India,Kolkata,Banglore,0,No info,49.06,12,4,0,20,45,23,20,155
Air India,Delhi,Cochin,1,No info,112.1,18,5,1,13,0,19,15,375
Jet Airways,Delhi,Cochin,1,In-flight meal not included,152.27,9,3,1,2,15,19,45,1050
IndiGo,Delhi,Cochin,1,No info,69.84,1,5,0,21,50,3,35,345
Air Asia,Kolkata,Banglore,0,No info,48.5,1,5,0,10,20,12,55,155
Jet Airways,Delhi,Cochin,1,No info,187.26,6,3,0,18,15,19,45,1530
Multiple carriers,Delhi,Cochin,1,No info,151.0,18,5,1,7,5,21,0,835
IndiGo,Banglore,Delhi,0,No info,97.4,15,3,0,18,25,21,20,175
Multiple carriers,Delhi,Cochin,1,No info,137.76,24,6,0,8,45,19,0,615
Jet Airways,Banglore,Delhi,1,No info,149.1,18,3,0,11,40,20,20,520
Jet Airways,Kolkata,Banglore,1,In-flight meal not included,119.28,6,6,0,6,30,12,0,330
Multiple carriers,Delhi,Cochin,1,No info,149.46,9,6,1,9,0,21,0,720
SpiceJet,Chennai,Kolkata,0,No check-in baggage included,38.97,12,6,0,9,45,12,0,135
Vistara,Chennai,Kolkata,0,No info,53.26,18,3,0,7,5,9,20,135
IndiGo,Banglore,Delhi,0,No info,43.37,24,4,0,23,30,2,20,170
Jet Airways,Delhi,Cochin,1,In-flight meal not included,116.35,9,6,1,19,15,4,25,550
IndiGo,Delhi,Cochin,1,No info,76.77,15,5,0,10,35,21,0,625
Vistara,Chennai,Kolkata,0,No info,131.8,27,6,0,17,45,20,5,140
SpiceJet,Delhi,Cochin,1,No info,57.9,6,6,0,8,45,13,15,270
Vistara,Delhi,Cochin,0,No info,88.01,3,3,1,6,0,9,10,190
Air India,Delhi,Cochin,2,No info,117.16,1,6,1,19,45,19,15,1410
Jet Airways,Kolkata,Banglore,1,In-flight meal not included,119.28,24,5,0,16,30,19,50,1640
Multiple carriers,Delhi,Cochin,1,No info,72.61,27,3,0,9,45,22,20,755
Air India,Delhi,Cochin,1,No info,72.46,21,3,0,19,0,19,15,1455
SpiceJet,Mumbai,Hyderabad,0,No info,34.9,21,3,0,13,10,14,30,80
Air India,Banglore,Delhi,0,No info,57.51,9,5,0,10,0,12,45,165
Jet Airways,Banglore,Delhi,0,In-flight meal not included,63.46,21,6,0,7,10,10,10,180
Jet Airways,Delhi,Cochin,1,No info,161.85,6,6,0,8,0,19,0,660
Jet Airways,Delhi,Cochin,2,No info,143.15,3,6,0,5,30,19,0,810
IndiGo,Banglore,Delhi,0,No info,36.95,3,6,0,22,10,1,0,170
GoAir,Banglore,Delhi,0,No info,73.94,3,3,1,20,55,23,50,175
IndiGo,Kolkata,Banglore,0,No info,49.08,18,3,0,9,35,12,20,165
IndiGo,Delhi,Cochin,1,No info,67.88,9,3,1,4,55,16,10,675
Air India,Kolkata,Banglore,2,No info,135.33,21,5,0,5,50,20,25,875
Multiple carriers,Delhi,Cochin,1,No info,84.64,21,3,0,11,40,1,35,835
IndiGo,Delhi,Cochin,1,No info,62.52,24,6,0,11,25,1,30,845
Air India,Kolkata,Banglore,1,No info,92.03,12,6,0,16,50,7,55,905
Air India,Chennai,Kolkata,0,No info,215.93,1,3,0,11,40,13,55,135
Jet Airways,Banglore,Delhi,1,In-flight meal not included,148.52,6,3,0,14,5,5,5,900
Jet Airways,Kolkata,Banglore,1,No info,162.59,1,5,0,21,10,10,5,775
Multiple carriers,Delhi,Cochin,1,No info,71.64,12,6,0,7,10,16,10,540
Air India,Delhi,Cochin,1,No info,109.22,1,6,1,7,0,19,15,735
Multiple carriers,Delhi,Cochin,2,No info,201.02,6,6,0,17,50,1,30,460
Air India,Delhi,Cochin,1,No info,49.36,9,4,0,6,5,9,25,1640
IndiGo,Mumbai,Hyderabad,0,No info,30.29,15,3,0,21,20,22,45,85
Air India,Mumbai,Hyderabad,0,No info,28.32,27,3,0,6,20,7,40,80
SpiceJet,Kolkata,Banglore,1,No info,90.46,12,6,0,15,55,21,25,330
Air India,Delhi,Cochin,1,No info,98.9,9,3,1,20,30,8,15,705
IndiGo,Delhi,Cochin,0,No info,55.0,24,6,0,5,35,8,50,195
Jet Airways,Kolkata,Banglore,1,In-flight meal not included,93.82,12,6,0,18,55,19,50,1495
Air India,Delhi,Cochin,1,No info,154.46,3,3,1,6,5,9,25,1640
Jet Airways,Banglore,Delhi,0,In-flight meal not included,44.33,24,5,0,11,10,14,5,175
Jet Airways,Kolkata,Banglore,1,In-flight meal not included,119.28,6,6,0,18,55,12,0,1025
IndiGo,Kolkata,Banglore,0,No info,52.84,6,5,0,21,25,0,5,160
Multiple carriers,Delhi,Cochin,1,In-flight meal not included,80.39,27,5,0,17,30,1,30,480
IndiGo,Banglore,Delhi,0,No info,53.05,12,5,1,16,55,19,55,180
Jet Airways,Delhi,Cochin,1,In-flight meal not included,112.88,24,6,0,9,0,12,35,1655
Jet Airways,Delhi,Cochin,1,In-flight meal not included,141.88,27,5,0,20,55,4,25,450
Air India,Banglore,Delhi,2,No info,140.56,12,3,0,17,25,16,20,1375
IndiGo,Delhi,Cochin,1,No info,163.58,3,3,1,4,45,13,20,515
Air India,Delhi,Cochin,2,No info,95.79,21,3,0,13,20,19,15,1795
Jet Airways,Kolkata,Banglore,1,In-flight meal not included,119.28,6,6,0,20,0,18,15,1335
SpiceJet,Mumbai,Hyderabad,0,No info,45.42,6,3,0,5,45,7,5,80
IndiGo,Kolkata,Banglore,0,No info,52.84,18,5,1,21,25,0,5,160
Jet Airways,Banglore,Delhi,0,No info,79.52,6,5,0,8,20,11,20,180
Jet Airways,Banglore,Delhi,1,In-flight meal not included,86.15,21,3,0,7,0,19,10,730
SpiceJet,Chennai,Kolkata,0,No info,42.45,18,3,0,9,30,12,5,155
Multiple carriers,Delhi,Cochin,1,No info,99.01,6,6,0,7,30,19,15,705
Vistara,Banglore,Delhi,0,No info,53.66,9,5,0,17,0,19,35,155
IndiGo,Mumbai,Hyderabad,0,No info,30.29,3,5,0,2,35,4,5,90
Vistara,Banglore,Delhi,0,No info,51.35,27,6,0,7,0,9,40,160
Air Asia,Kolkata,Banglore,0,No info,57.38,12,5,1,10,20,12,55,155
Jet Airways,Delhi,Cochin,2,In-flight meal not included,114.05,6,6,0,5,30,4,25,1375
IndiGo,Delhi,Cochin,2,No info,89.61,9,3,1,6,40,21,20,880
Jet Airways,Delhi,Cochin,1,No info,134.66,27,3,0,13,0,4,25,925
Jet Airways,Banglore,Delhi,1,In-flight meal not included,100.47,15,3,0,8,0,15,15,435
Air India,Delhi,Cochin,2,No info,120.33,6,6,0,13,15,9,25,1210
Air India,Delhi,Cochin,2,No info,129.28,6,6,0,10,55,7,40,1245
SpiceJet,Kolkata,Banglore,0,No info,45.91,24,4,0,17,10,19,40,150
Jet Airways,Kolkata,Banglore,1,In-flight meal not included,119.28,21,5,0,20,0,19,50,1430
Jet Airways,Delhi,Cochin,1,No info,161.85,3,6,0,16,0,19,0,1620
Jet Airways,Kolkata,Banglore,1,In-flight meal not included,108.89,12,6,0,6,30,12,0,330
IndiGo,Delhi,Cochin,1,No info,163.58,3,3,1,9,10,21,0,710
IndiGo,Chennai,Kolkata,0,No info,80.24,6,3,0,13,20,15,35,135
Air India,Delhi,Cochin,2,No info,148.11,6,6,0,18,45,19,15,1470
SpiceJet,Chennai,Kolkata,0,No check-in baggage included,38.97,21,5,0,17,45,20,5,140
Multiple carriers,Delhi,Cochin,1,No info,79.18,27,6,0,19,0,1,30,390
Jet Airways,Delhi,Cochin,1,In-flight meal not included,112.88,1,6,1,8,0,4,25,1225
IndiGo,Kolkata,Banglore,0,No info,45.63,15,3,0,15,20,17,55,155
